Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
201912,02,122,4,9,Kenai Peninsula Borough       ,71,71,17941755,4,8,1389200,1,4,800000,3,34,1600000,48,48,13151000,4,8,1389200,1,4,800000,3,34,1600000
201912,02,130,4,9,Ketchikan Gateway Borough     ,34,34,9651536,3,6,1036329,2,7,856036,0,0,0,34,34,9651536,3,6,1036329,2,7,856036,0,0,0
201912,02,150,4,9,Kodiak Island Borough         ,10,10,3905806,0,0,0,0,0,0,1,20,4527884,10,10,3905806,0,0,0,0,0,0,1,20,4527884
201912,02,170,4,9,Matanuska-Susitna Borough     ,41,41,11175338,11,22,3771056,1,3,359024,2,52,6450000,28,28,7448024,3,6,1035309,0,0,0,2,52,6450000
201912,02,180,4,9,Nome Census Area              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201912,02,185,4,9,North Slope Borough           ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201912,02,188,4,9,Northwest Arctic Borough      ,11,11,5045670,0,0,0,0,0,0,0,0,0,5,5,1485670,0,0,0,0,0,0,0,0,0
201912,02,195,4,9,Petersburg Borough            ,11,11,2117938,0,0,0,0,0,0,0,0,0,9,9,1741380,0,0,0,0,0,0,0,0,0
201912,02,198,4,9,Prince of Wales-Hyder Census A,3,3,850848,3,6,1036329,0,0,0,0,0,0,3,3,850848,3,6,1036329,0,0,0,0,0,0
201912,02,220,4,9,Sitka City and Borough        ,10,10,2444738,1,2,306156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201912,02,230,4,9,Skagway Municipality          ,4,4,566470,6,12,1316666,0,0,0,0,0,0,1,1,50000,0,0,0,0,0,0,0,0,0
201912,02,261,4,9,Valdez-Cordova Census Area    ,15,15,3315000,0,0,0,0,0,0,0,0,0,15,15,3315000,0,0,0,0,0,0,0,0,0
201912,02,275,4,9,Wrangell City and Borough     ,3,3,234500,0,0,0,0,0,0,0,0,0,3,3,234500,0,0,0,0,0,0,0,0,0
201912,02,282,4,9,Yakutat City and Borough      ,5,5,834615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201912,02,290,4,9,Yukon-Koyukuk Census Area     ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201912,04,013,4,8,Maricopa County               ,20004,20004,5669076686,280,560,78085562,49,163,36604311,223,9597,1367208500,19666,19666,5579496980,274,548,76527479,49,163,36604311,209,8282,1139257086
201912,04,019,4,8,Pima County                   ,3183,3183,944512566,18,36,7379038,0,0,0,64,1032,152710591,2491,2491,770510798,3,6,3497258,0,0,0,0,0,0
201912,04,021,4,8,Pinal County                  ,4933,4933,980476334,52,104,6542977,1,3,300000,1,36,3500000,4802,4802,955484028,52,104,6542977,1,3,300000,1,36,3500000
201912,05,013,3,7,Calhoun County                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201912,05,035,3,7,Crittenden County             ,51,51,11265270,0,0,0,0,0,0,0,0,0,46,46,10108813,0,0,0,0,0,0,0,0,0
201912,05,043,3,7,Drew County                   ,6,6,373000,1,2,100000,1,4,200000,0,0,0,6,6,373000,1,2,100000,1,4,200000,0,0,0
201912,05,045,3,7,Faulkner County               ,306,306,65220459,9,18,1365013,0,0,0,12,101,2763164,93,93,15571550,0,0,0,0,0,0,0,0,0
201912,05,053,3,7,Grant County                  ,27,27,4153451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201912,05,085,3,7,Lonoke County                 ,347,347,39118996,2,4,240000,0,0,0,0,0,0,189,189,25518184,2,4,240000,0,0,0,0,0,0
201912,05,087,3,7,Madison County                ,10,10,1668675,1,2,200000,0,0,0,0,0,0,10,10,1668675,1,2,200000,0,0,0,0,0,0
201912,05,091,3,7,Miller County                 ,28,28,5863026,0,0,0,0,0,0,0,0,0,2,2,135000,0,0,0,0,0,0,0,0,0
201912,05,105,3,7,Perry County                  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201912,05,119,3,7,Pulaski County                ,913,913,205395702,2,4,389000,4,16,525000,14,929,82498314,913,913,205395702,2,4,389000,4,16,525000,14,929,82498314
201912,05,129,3,7,Searcy County                 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201912,05,143,3,7,Washington County             ,1476,1476,384462295,33,66,14501206,6,23,2962362,41,1455,120329869,1466,1466,383162295,33,66,14501206,6,23,2962362,41,1455,120329869
201912,06,001,4,9,Alameda County                ,1975,1975,637025098,29,58,15140353,29,104,26096228,131,4467,850003652,1625,1625,521014441,25,50,12947495,21,79,19161360,95,4042,751384835
201912,06,013,4,9,Contra Costa County           ,1521,1521,480425429,6,12,3275131,0,0,0,23,1117,195804502,1521,1521,480425429,6,12,3275131,0,0,0,23,1117,195804502
201912,06,017,4,9,El Dorado County              ,578,578,199150267,1,2,275000,0,0,0,1,16,13500000,578,578,199150267,1,2,275000,0,0,0,1,16,13500000
201912,06,019,4,9,Fresno County                 ,2209,2209,677594245,35,70,12530517,72,219,14075426,85,772,100462734,1763,1763,548536527,22,44,7010243,68,206,13238692,56,518,74370837
201912,06,037,4,9,Los Angeles County            ,5879,5879,1943877177,704,1408,261819089,69,234,46316203,435,14102,2898507642,5355,5355,1674257342,693,1386,256802606,56,195,40830767,389,13738,2848183507
201912,06,041,4,9,Marin County                  ,180,180,96829238,6,12,8606250,0,0,0,1,49,10531745,163,163,81180253,1,2,950000,0,0,0,1,49,10531745
201912,06,059,4,9,Orange County                 ,3357,3357,1015289916,134,268,68744475,40,135,28656394,99,4544,562604814,3005,3005,864538549,109,218,52077511,37,126,26675818,82,4149,482171803
201912,06,061,4,9,Placer County                 ,2035,2035,671292453,1,2,740377,0,0,0,4,305,41266351,2035,2035,671292453,1,2,740377,0,0,0,4,305,41266351
201912,06,063,4,9,Plumas County                 ,38,38,7369881,0,0,0,0,0,0,0,0,0,38,38,7369881,0,0,0,0,0,0,0,0,0
201912,06,067,4,9,Sacramento County             ,3897,3897,1066249019,77,154,26459681,9,34,5990567,48,1455,217520955,3882,3882,1062770233,77,154,26459681,9,34,5990567,48,1455,217520955
201912,06,069,4,9,San Benito County             ,733,733,240563656,2,4,798703,1,3,595698,0,0,0,603,603,207324546,2,4,798703,1,3,595698,0,0,0
201912,06,071,4,9,San Bernardino County         ,4136,4136,1070289791,30,60,8371156,31,118,18311799,102,1253,151513446,3987,3987,1031788821,30,60,8371156,31,118,18311799,84,1122,142250336
201912,06,073,4,9,San Diego County              ,3023,3023,966223003,55,110,23821358,117,409,89470416,161,4540,627073310,2947,2947,948803825,55,110,23821358,116,406,89351558,154,4411,607899518
201912,06,075,4,9,San Francisco County          ,22,22,6073858,18,36,6709517,12,40,8115497,31,3102,892895418,22,22,6073858,18,36,6709517,12,40,8115497,31,3102,892895418
201912,06,081,4,9,San Mateo County              ,360,360,298776447,4,8,3106360,2,8,2222717,26,1061,297494891,319,319,273832048,4,8,3106360,2,8,2222717,19,920,268095376
201912,06,085,4,9,Santa Clara County            ,1832,1832,675674249,11,22,6376593,14,50,12343192,124,3841,661726878,1719,1719,631483976,11,22,6376593,13,47,11586300,110,3386,579889109
201912,06,091,4,9,Sierra County                 ,5,5,1755670,0,0,0,0,0,0,0,0,0,5,5,1755670,0,0,0,0,0,0,0,0,0
201912,06,113,4,9,Yolo County                   ,664,664,205543603,6,12,2472853,0,0,0,4,219,37159320,664,664,205543603,6,12,2472853,0,0,0,4,219,37159320
201912,08,001,4,8,Adams County                  ,2271,2271,631620481,6,12,1030631,3,11,1827879,13,370,64079961,2247,2247,622957782,6,12,1030631,3,11,1827879,13,370,64079961
201912,08,005,4,8,Arapahoe County               ,2351,2351,672401246,3,6,839137,13,41,7538735,19,1099,175170825,2309,2309,662205561,1,2,406062,9,29,6142528,19,1099,175170825
201912,08,014,4,8,Broomfield County             ,333,333,118197893,2,4,955282,0,0,0,1,6,1210636,333,333,118197893,2,4,955282,0,0,0,1,6,1210636
201912,08,015,4,8,Chaffee County                ,143,143,36895077,3,6,971886,5,15,2748500,0,0,0,30,30,6957079,0,0,0,0,0,0,0,0,0
201912,08,019,4,8,Clear Creek County            ,20,20,5782236,0,0,0,0,0,0,2,47,9500000,19,19,5522678,0,0,0,0,0,0,2,47,9500000
201912,08,031,4,8,Denver County                 ,2257,2257,619450228,0,0,0,2,7,1197560,51,5066,646993135,2257,2257,619450228,0,0,0,2,7,1197560,51,5066,646993135
201912,08,035,4,8,Douglas County                ,2623,2623,801937194,14,28,4821482,12,41,6482384,30,467,50966762,2505,2505,767723734,14,28,4821482,12,41,6482384,27,419,44518300
201912,08,039,4,8,Elbert County                 ,196,196,59553676,0,0,0,0,0,0,0,0,0,196,196,59553676,0,0,0,0,0,0,0,0,0
201912,08,041,4,8,El Paso County                ,3931,3931,1479124495,49,98,8320689,11,43,6742242,46,1316,178253695,3931,3931,1479124495,49,98,8320689,11,43,6742242,46,1316,178253695
201912,08,047,4,8,Gilpin County                 ,32,32,8812497,0,0,0,0,0,0,0,0,0,32,32,8812497,0,0,0,0,0,0,0,0,0
201912,08,059,4,8,Jefferson County              ,794,794,223524291,18,36,6397304,1,4,765696,12,982,134907678,784,784,220325381,18,36,6397304,1,4,765696,12,982,134907678
201912,08,069,4,8,Larimer County                ,1596,1596,430298162,7,14,1964855,14,54,6078493,62,877,119494423,1488,1488,404557989,7,14,1964855,14,54,6078493,61,859,117147490
201912,08,077,4,8,Mesa County                   ,619,619,111351061,7,14,1772923,0,0,0,4,126,9309566,619,619,111351061,7,14,1772923,0,0,0,4,126,9309566
201912,08,093,4,8,Park County                   ,174,174,46495664,0,0,0,0,0,0,0,0,0,174,174,46495664,0,0,0,0,0,0,0,0,0
201912,08,101,4,8,Pueblo County                 ,484,484,78252607,0,0,0,1,4,509924,0,0,0,484,484,78252607,0,0,0,1,4,509924,0,0,0
201912,08,119,4,8,Teller County                 ,120,120,37414036,0,0,0,0,0,0,0,0,0,120,120,37414036,0,0,0,0,0,0,0,0,0
201912,09,001,1,1,Fairfield County              ,625,625,399522703,20,40,7168879,6,20,3861968,31,1641,402856054,479,479,266289538,19,38,7031379,6,20,3861968,20,1573,367672988
201912,09,003,1,1,Hartford County               ,594,594,109972251,14,28,3248080,10,38,4511270,39,266,19080684,520,520,94515367,14,28,3248080,10,38,4511270,6,80,6783476
201912,09,007,1,1,Middlesex County              ,126,126,31756705,0,0,0,2,6,410000,0,0,0,90,90,24604394,0,0,0,2,6,410000,0,0,0
201912,09,013,1,1,Tolland County                ,135,135,29871069,6,12,1156800,0,0,0,29,193,18976426,72,72,16040217,1,2,270000,0,0,0,1,8,700000
201912,10,001,3,5,Kent County                   ,1217,1217,174148162,21,42,4508553,0,0,0,13,82,6392095,1189,1189,168993850,21,42,4508553,0,0,0,13,82,6392095
201912,10,003,3,5,New Castle County             ,1277,1277,134050274,3,6,349430,0,0,0,23,420,32164202,1081,1081,114219971,3,6,349430,0,0,0,21,410,31223694
201912,10,005,3,5,Sussex County                 ,3041,3041,436881039,57,114,13574184,24,89,9321646,39,223,31747191,3041,3041,436881039,57,114,13574184,24,89,9321646,39,223,31747191
201912,11,001,3,5,Washington  DC                ,168,168,39784597,45,90,10413123,1,4,520042,59,5683,629820774,168,168,39784597,45,90,10413123,1,4,520042,59,5683,629820774
201912,12,003,3,5,Baker County                  ,133,133,23081871,0,0,0,0,0,0,0,0,0,133,133,23081871,0,0,0,0,0,0,0,0,0
201912,12,019,3,5,Clay County                   ,1246,1246,264177286,1,2,165000,0,0,0,3,72,6210000,1246,1246,264177286,1,2,165000,0,0,0,3,72,6210000
201912,12,029,3,5,Dixie County                  ,35,35,4421320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201912,12,031,3,5,Duval County                  ,4290,4290,1030717992,18,36,4180690,5,19,2551173,44,2595,287126254,4222,4222,1008088391,18,36,4180690,5,19,2551173,44,2595,287126254
201912,12,033,3,5,Escambia County               ,1154,1154,272488443,36,72,11222605,5,17,1190000,4,397,43690442,1146,1146,270709474,36,72,11222605,5,17,1190000,4,397,43690442
201912,12,053,3,5,Hernando County               ,985,985,181775074,0,0,0,1,4,656488,17,134,17232883,985,985,181775074,0,0,0,1,4,656488,17,134,17232883
201912,12,057,3,5,Hillsborough County           ,8828,8828,2703157087,33,66,9230055,2,7,2675000,88,5521,724353881,8828,8828,2703157087,33,66,9230055,2,7,2675000,88,5521,724353881
201912,12,067,3,5,Lafayette County              ,9,9,2097946,0,0,0,0,0,0,0,0,0,9,9,2097946,0,0,0,0,0,0,0,0,0
201912,12,071,3,5,Lee County                    ,5628,5628,1217170683,191,382,51721318,36,144,35031785,89,2946,420147198,5628,5628,1217170683,191,382,51721318,36,144,35031785,89,2946,420147198
201912,12,073,3,5,Leon County                   ,678,678,134140341,7,14,1551200,0,0,0,45,1261,162012935,0,0,0,0,0,0,0,0,0,0,0,0
201912,12,081,3,5,Manatee County                ,3095,3095,639468581,2,4,210000,28,112,16130000,48,1513,132975351,3090,3090,638730335,2,4,210000,28,112,16130000,48,1513,132975351
201912,12,086,3,5,Miami-Dade County             ,2360,2360,751293260,170,340,51432432,6,24,4050511,136,7301,1619735629,2147,2147,680568702,170,340,51432432,6,24,4050511,129,7146,1609360048
201912,12,089,3,5,Nassau County                 ,1418,1418,342299531,0,0,0,4,16,1771315,7,103,12376839,1206,1206,283156422,0,0,0,4,16,1771315,1,9,996365
201912,12,091,3,5,Okaloosa County               ,879,879,283683159,2,4,700000,2,8,1132192,1,5,600000,750,750,250996998,2,4,700000,2,8,1132192,1,5,600000
201912,12,095,3,5,Orange County                 ,5299,5299,1570224899,107,214,41991406,2,7,832567,93,5341,690440489,5290,5290,1565692359,107,214,41991406,2,7,832567,93,5341,690440489
201912,12,097,3,5,Osceola County                ,5428,5428,1323457736,2,4,585983,35,140,22951661,52,2365,205022636,5428,5428,1323457736,2,4,585983,35,140,22951661,52,2365,205022636
201912,12,101,3,5,Pasco County                  ,3932,3932,799789437,44,88,10328498,24,92,5774383,60,456,26288514,3920,3920,798652821,36,72,8088498,24,92,5774383,54,426,23701014
201912,12,103,3,5,Pinellas County               ,922,922,281919142,5,10,1802520,0,0,0,31,2513,312578920,893,893,270419020,5,10,1802520,0,0,0,25,2483,300206698
201912,12,109,3,5,St. Johns County              ,4224,4224,1061917211,8,16,3178710,7,28,5984187,29,670,64938709,4224,4224,1061917211,8,16,3178710,7,28,5984187,29,670,64938709
201912,12,113,3,5,Santa Rosa County             ,1551,1551,267460464,0,0,0,0,0,0,0,0,0,1551,1551,267460464,0,0,0,0,0,0,0,0,0
201912,12,115,3,5,Sarasota County               ,3392,3392,972327192,9,18,5171745,23,82,41268326,60,1738,224580998,3392,3392,972327192,9,18,5171745,23,82,41268326,60,1738,224580998
201912,12,117,3,5,Seminole County               ,1196,1196,372573225,13,26,3461952,1,3,484144,28,1270,117251454,1158,1158,357519488,13,26,3461952,0,0,0,23,1144,106952942
201912,12,119,3,5,Sumter County                 ,2657,2657,693743215,0,0,0,0,0,0,8,271,46334000,2657,2657,693743215,0,0,0,0,0,0,8,271,46334000
201912,12,129,3,5,Wakulla County                ,283,283,54827747,0,0,0,0,0,0,0,0,0,283,283,54827747,0,0,0,0,0,0,0,0,0
201912,12,131,3,5,Walton County                 ,1514,1514,652523444,3,6,762389,19,74,7057424,60,1054,132784802,1514,1514,652523444,3,6,762389,19,74,7057424,60,1054,132784802
201912,12,133,3,5,Washington County             ,69,69,10006363,0,0,0,0,0,0,0,0,0,57,57,8468515,0,0,0,0,0,0,0,0,0
201912,13,007,3,5,Baker County                  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201912,13,013,3,5,Barrow County                 ,740,740,100400971,0,0,0,0,0,0,0,0,0,734,734,99544805,0,0,0,0,0,0,0,0,0
201912,13,015,3,5,Bartow County                 ,610,610,114948325,6,12,656456,1,4,207328,10,234,17837903,599,599,111425551,6,12,656456,1,4,207328,8,219,16122829
201912,13,021,3,5,Bibb County                   ,132,132,23338834,0,0,0,0,0,0,0,0,0,20,20,4462018,0,0,0,0,0,0,0,0,0
201912,13,029,3,5,Bryan County                  ,564,564,124688484,0,0,0,0,0,0,0,0,0,542,542,119979635,0,0,0,0,0,0,0,0,0
201912,13,033,3,5,Burke County                  ,50,50,8877820,0,0,0,0,0,0,0,0,0,37,37,6562800,0,0,0,0,0,0,0,0,0
201912,13,035,3,5,Butts County                  ,95,95,31831800,0,0,0,0,0,0,0,0,0,95,95,31831800,0,0,0,0,0,0,0,0,0
201912,13,045,3,5,Carroll County                ,784,784,191920459,0,0,0,0,0,0,1,8,815182,781,781,191513279,0,0,0,0,0,0,1,8,815182
201912,13,051,3,5,Chatham County                ,917,917,212565502,1,2,292400,0,0,0,33,437,37874044,684,684,161778453,0,0,0,0,0,0,32,431,37544044
201912,13,057,3,5,Cherokee County               ,2177,2177,613480146,0,0,0,0,0,0,9,266,38126424,2177,2177,613480146,0,0,0,0,0,0,9,266,38126424
201912,13,059,3,5,Clarke County                 ,517,517,85398371,39,78,9402932,16,55,5330671,69,633,72609019,517,517,85398371,39,78,9402932,16,55,5330671,69,633,72609019
201912,13,063,3,5,Clayton County                ,835,835,184396983,0,0,0,0,0,0,9,70,4450474,728,728,169967252,0,0,0,0,0,0,9,70,4450474
201912,13,067,3,5,Cobb County                   ,1559,1559,409625265,13,26,5351383,25,87,19049491,52,1895,254000899,1544,1544,406095974,13,26,5351383,25,87,19049491,52,1895,254000899
201912,13,073,3,5,Columbia County               ,1125,1125,211874705,4,8,1255328,24,87,6646221,15,328,28307744,519,519,93130147,4,8,1255328,24,87,6646221,15,328,28307744
201912,13,077,3,5,Coweta County                 ,979,979,334083402,0,0,0,2,8,440000,16,357,30568554,895,895,309968506,0,0,0,2,8,440000,14,320,27275402
201912,13,085,3,5,Dawson County                 ,423,423,76866984,0,0,0,0,0,0,0,0,0,227,227,41065137,0,0,0,0,0,0,0,0,0
201912,13,095,3,5,Dougherty County              ,18,18,3691373,0,0,0,0,0,0,10,220,32839342,18,18,3691373,0,0,0,0,0,0,10,220,32839342
201912,13,097,3,5,Douglas County                ,449,449,88095008,0,0,0,0,0,0,0,0,0,449,449,88095008,0,0,0,0,0,0,0,0,0
201912,13,111,3,5,Fannin County                 ,292,292,58634711,0,0,0,0,0,0,0,0,0,292,292,58634711,0,0,0,0,0,0,0,0,0
201912,13,113,3,5,Fayette County                ,516,516,161874976,1,2,800000,0,0,0,0,0,0,429,429,134347868,1,2,800000,0,0,0,0,0,0
201912,13,115,3,5,Floyd County                  ,263,263,40868256,0,0,0,0,0,0,0,0,0,263,263,40868256,0,0,0,0,0,0,0,0,0
201912,13,117,3,5,Forsyth County                ,1851,1851,318211680,0,0,0,0,0,0,0,0,0,1851,1851,318211680,0,0,0,0,0,0,0,0,0
201912,13,121,3,5,Fulton County                 ,3811,3811,966483910,1,2,223682,3,9,1208451,50,2568,333327911,3571,3571,925793353,1,2,223682,3,9,1208451,50,2568,333327911
201912,13,127,3,5,Glynn County                  ,368,368,118459373,5,10,1385000,0,0,0,0,0,0,283,283,93422249,5,10,1385000,0,0,0,0,0,0
201912,13,135,3,5,Gwinnett County               ,3442,3442,830897874,0,0,0,2,7,770643,11,716,85831169,3374,3374,810996443,0,0,0,2,7,770643,11,716,85831169
201912,13,143,3,5,Haralson County               ,55,55,12568276,0,0,0,0,0,0,0,0,0,2,2,552000,0,0,0,0,0,0,0,0,0
201912,13,145,3,5,Harris County                 ,224,224,56552635,0,0,0,0,0,0,0,0,0,224,224,56552635,0,0,0,0,0,0,0,0,0
201912,13,149,3,5,Heard County                  ,26,26,6063462,0,0,0,0,0,0,0,0,0,26,26,6063462,0,0,0,0,0,0,0,0,0
201912,13,151,3,5,Henry County                  ,1684,1684,334870174,0,0,0,0,0,0,1,132,24857432,1684,1684,334870174,0,0,0,0,0,0,1,132,24857432
201912,13,159,3,5,Jasper County                 ,74,74,9914076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201912,13,171,3,5,Lamar County                  ,107,107,14107326,0,0,0,0,0,0,0,0,0,106,106,13979944,0,0,0,0,0,0,0,0,0
201912,13,177,3,5,Lee County                    ,125,125,12865477,0,0,0,0,0,0,0,0,0,117,117,11892827,0,0,0,0,0,0,0,0,0
201912,13,179,3,5,Liberty County                ,286,286,63319657,2,4,376864,0,0,0,20,464,48803115,286,286,63319657,2,4,376864,0,0,0,20,464,48803115
201912,13,189,3,5,McDuffie County               ,35,35,7023000,0,0,0,0,0,0,0,0,0,35,35,7023000,0,0,0,0,0,0,0,0,0
201912,13,199,3,5,Meriwether County             ,86,86,16121440,0,0,0,0,0,0,0,0,0,63,63,10906193,0,0,0,0,0,0,0,0,0
201912,13,201,3,5,Miller County                 ,9,9,1653016,0,0,0,0,0,0,0,0,0,9,9,1653016,0,0,0,0,0,0,0,0,0
201912,13,207,3,5,Monroe County                 ,158,158,22488791,0,0,0,0,0,0,0,0,0,39,39,10734000,0,0,0,0,0,0,0,0,0
201912,13,215,3,5,Muscogee County               ,293,293,55270605,0,0,0,2,8,254187,12,380,53938289,268,268,50408499,0,0,0,1,4,8000,11,369,51871952
201912,13,217,3,5,Newton County                 ,613,613,118809245,0,0,0,0,0,0,1,6,600000,613,613,118809245,0,0,0,0,0,0,1,6,600000
201912,13,227,3,5,Pickens County                ,164,164,43572447,0,0,0,0,0,0,0,0,0,164,164,43572447,0,0,0,0,0,0,0,0,0
201912,13,231,3,5,Pike County                   ,120,120,22853181,0,0,0,0,0,0,0,0,0,110,110,20853181,0,0,0,0,0,0,0,0,0
201912,13,235,3,5,Pulaski County                ,14,14,2161895,0,0,0,0,0,0,0,0,0,14,14,2161895,0,0,0,0,0,0,0,0,0
201912,13,245,3,5,Richmond County               ,356,356,56513085,0,0,0,0,0,0,3,73,4193069,258,258,40407546,0,0,0,0,0,0,0,0,0
201912,13,247,3,5,Rockdale County               ,275,275,68591353,0,0,0,0,0,0,0,0,0,261,261,65293297,0,0,0,0,0,0,0,0,0
201912,13,255,3,5,Spalding County               ,297,297,43705558,0,0,0,0,0,0,5,120,11853600,293,293,43391758,0,0,0,0,0,0,5,120,11853600
201912,13,275,3,5,Thomas County                 ,92,92,17950347,1,2,344000,0,0,0,0,0,0,92,92,17950347,1,2,344000,0,0,0,0,0,0
201912,13,291,3,5,Union County                  ,223,223,61286585,0,0,0,0,0,0,0,0,0,223,223,61286585,0,0,0,0,0,0,0,0,0
201912,15,001,4,9,Hawaii County                 ,948,948,297549798,0,0,0,0,0,0,2,29,3229167,340,340,108808054,0,0,0,0,0,0,1,24,2900000
201912,15,003,4,9,Honolulu County               ,970,970,388404880,0,0,0,8,24,15590983,48,1614,304999317,817,817,331338887,0,0,0,8,24,15590983,42,1315,246498406
201912,15,007,4,9,Kauai County                  ,174,174,122119494,3,6,1647275,0,0,0,0,0,0,174,174,122119494,3,6,1647275,0,0,0,0,0,0
201912,15,009,4,9,Maui County                   ,513,513,170614755,6,12,2786465,17,68,28225000,2,64,16429729,513,513,170614755,6,12,2786465,17,68,28225000,2,64,16429729
201912,16,001,4,8,Ada County                    ,4844,4844,1303102363,12,24,4164529,33,126,14544188,121,2070,246778491,4794,4794,1289512100,12,24,4164529,33,126,14544188,121,2070,246778491
201912,16,015,4,8,Boise County                  ,81,81,24069203,0,0,0,0,0,0,0,0,0,80,80,23916433,0,0,0,0,0,0,0,0,0
201912,16,027,4,8,Canyon County                 ,2495,2495,380325826,24,48,3830600,25,99,7449239,35,690,60412828,2431,2431,366844419,24,48,3830600,24,96,7159534,35,690,60412828
