Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
201912,01,001,3,6,Autauga County                ,242,242,69003879,0,0,0,0,0,0,0,0,0,242,242,69003879,0,0,0,0,0,0,0,0,0
201912,01,007,3,6,Bibb County                   ,14,14,2925717,0,0,0,1,3,280000,0,0,0,11,11,2160330,0,0,0,1,3,280000,0,0,0
201912,01,009,3,6,Blount County                 ,25,25,4341017,0,0,0,1,4,175000,0,0,0,25,25,4341017,0,0,0,1,4,175000,0,0,0
201912,01,021,3,6,Chilton County                ,31,31,5254882,0,0,0,0,0,0,0,0,0,31,31,5254882,0,0,0,0,0,0,0,0,0
201912,01,073,3,6,Jefferson County              ,1523,1523,458315458,9,18,2225961,0,0,0,11,110,11281591,1136,1136,340212068,0,0,0,0,0,0,0,0,0
201912,01,081,3,6,Lee County                    ,1129,1129,299406522,33,66,8717153,16,55,7744530,16,841,165567647,1112,1112,295123442,33,66,8717153,16,55,7744530,16,841,165567647
201912,01,083,3,6,Limestone County              ,283,283,60046131,0,0,0,0,0,0,0,0,0,283,283,60046131,0,0,0,0,0,0,0,0,0
201912,01,089,3,6,Madison County                ,3067,3067,446237835,1,2,140000,20,80,6800000,17,85,2190000,2940,2940,423363508,1,2,140000,20,80,6800000,17,85,2190000
201912,01,113,3,6,Russell County                ,163,163,23914496,1,2,143676,0,0,0,0,0,0,132,132,19727702,1,2,143676,0,0,0,0,0,0
201912,01,115,3,6,St. Clair County              ,244,244,44320115,0,0,0,0,0,0,0,0,0,206,206,37437995,0,0,0,0,0,0,0,0,0
201912,01,117,3,6,Shelby County                 ,1047,1047,258845001,0,0,0,0,0,0,0,0,0,476,476,117606115,0,0,0,0,0,0,0,0,0
201912,01,127,3,6,Walker County                 ,30,30,5751918,0,0,0,0,0,0,0,0,0,29,29,5544140,0,0,0,0,0,0,0,0,0
201912,02,013,4,9,Aleutians East Borough        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201912,02,016,4,9,Aleutians West Census Area    ,4,4,392472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201912,02,020,4,9,Anchorage Municipality        ,838,838,262513354,0,0,0,13,48,8338126,20,173,27350531,0,0,0,0,0,0,0,0,0,0,0,0
201912,02,050,4,9,Bethel Census Area            ,8,8,2267366,2,4,691566,1,3,372759,0,0,0,8,8,2267366,2,4,691566,1,3,372759,0,0,0
201912,02,060,4,9,Bristol Bay Borough           ,8,8,925000,0,0,0,0,0,0,0,0,0,8,8,925000,0,0,0,0,0,0,0,0,0
201912,02,070,4,9,Dillingham Census Area        ,2,2,565670,0,0,0,0,0,0,0,0,0,2,2,565670,0,0,0,0,0,0,0,0,0
201912,02,090,4,9,Fairbanks North Star Borough  ,7,7,2356675,0,0,0,4,16,2228168,0,0,0,6,6,2088721,0,0,0,4,16,2228168,0,0,0
201912,02,100,4,9,Haines Borough                ,9,9,1345000,0,0,0,0,0,0,0,0,0,9,9,1345000,0,0,0,0,0,0,0,0,0
201912,02,105,4,9,Hoonah-Angoon Census Area     ,5,5,1231887,0,0,0,0,0,0,0,0,0,5,5,1231887,0,0,0,0,0,0,0,0,0
201912,02,110,4,9,Juneau City and Borough       ,53,53,10106735,1,2,288784,1,4,456905,15,115,14013503,53,53,10106735,1,2,288784,1,4,456905,15,115,14013503
