Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
202012,01,001,3,6,Autauga County                ,332,332,105453108,0,0,0,0,0,0,0,0,0,332,332,105453108,0,0,0,0,0,0,0,0,0
202012,01,007,3,6,Bibb County                   ,37,37,9632000,0,0,0,0,0,0,0,0,0,37,37,9632000,0,0,0,0,0,0,0,0,0
202012,01,009,3,6,Blount County                 ,23,23,3325710,0,0,0,0,0,0,0,0,0,22,22,3264316,0,0,0,0,0,0,0,0,0
202012,01,021,3,6,Chilton County                ,41,41,6011287,0,0,0,0,0,0,0,0,0,41,41,6011287,0,0,0,0,0,0,0,0,0
202012,01,073,3,6,Jefferson County              ,1566,1566,503947869,12,24,3213159,0,0,0,21,307,31215007,1318,1318,449737105,2,4,739869,0,0,0,8,200,20330546
202012,01,081,3,6,Lee County                    ,1316,1316,355549489,9,18,3391057,5,18,3982280,59,869,126024813,1087,1087,301824474,7,14,2532517,5,18,3982280,57,859,124951291
202012,01,083,3,6,Limestone County              ,376,376,85430934,1,2,162000,4,15,4353000,5,30,1800000,373,373,85045221,1,2,162000,4,15,4353000,5,30,1800000
202012,01,089,3,6,Madison County                ,3835,3835,692060641,12,24,2022660,0,0,0,2,60,7004200,3239,3239,570072531,12,24,2022660,0,0,0,2,60,7004200
202012,01,113,3,6,Russell County                ,138,138,24688037,6,12,670739,0,0,0,6,72,10250347,138,138,24688037,6,12,670739,0,0,0,6,72,10250347
202012,01,115,3,6,St. Clair County              ,387,387,60261546,1,2,175000,0,0,0,0,0,0,283,283,40324835,0,0,0,0,0,0,0,0,0
202012,01,117,3,6,Shelby County                 ,1489,1489,411196538,0,0,0,0,0,0,0,0,0,1469,1469,406719969,0,0,0,0,0,0,0,0,0
202012,01,127,3,6,Walker County                 ,51,51,8274760,0,0,0,0,0,0,0,0,0,50,50,8038353,0,0,0,0,0,0,0,0,0
202012,02,013,4,9,Aleutians East Borough        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202012,02,016,4,9,Aleutians West Census Area    ,1,1,296834,2,4,691450,0,0,0,0,0,0,1,1,296834,2,4,691450,0,0,0,0,0,0
202012,02,020,4,9,Anchorage Municipality        ,735,735,235176416,1,2,564514,12,44,7572140,15,189,28392597,35,35,15893190,1,2,564514,2,8,1318544,3,75,10369703
202012,02,050,4,9,Bethel Census Area            ,11,11,3265172,2,4,691450,0,0,0,0,0,0,11,11,3265172,2,4,691450,0,0,0,0,0,0
202012,02,060,4,9,Bristol Bay Borough           ,1,1,155000,0,0,0,0,0,0,0,0,0,1,1,155000,0,0,0,0,0,0,0,0,0
202012,02,070,4,9,Dillingham Census Area        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202012,02,090,4,9,Fairbanks North Star Borough  ,8,8,2701966,0,0,0,3,11,2279892,0,0,0,7,7,2353846,0,0,0,3,11,2279892,0,0,0
202012,02,100,4,9,Haines Borough                ,5,5,697776,0,0,0,0,0,0,0,0,0,1,1,100000,0,0,0,0,0,0,0,0,0
202012,02,105,4,9,Hoonah-Angoon Census Area     ,5,5,1484169,0,0,0,0,0,0,1,16,7000000,5,5,1484169,0,0,0,0,0,0,1,16,7000000
202012,02,110,4,9,Juneau City and Borough       ,40,40,9015750,3,6,1093993,0,0,0,0,0,0,40,40,9015750,3,6,1093993,0,0,0,0,0,0
