Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
202012,02,122,4,9,Kenai Peninsula Borough       ,83,83,23050940,2,4,530000,3,10,1727000,0,0,0,52,52,16304000,2,4,530000,3,10,1727000,0,0,0
202012,02,130,4,9,Ketchikan Gateway Borough     ,35,35,10113242,2,4,691450,1,4,594546,0,0,0,35,35,10113242,2,4,691450,1,4,594546,0,0,0
202012,02,150,4,9,Kodiak Island Borough         ,8,8,1908220,1,2,495399,3,9,1278274,0,0,0,8,8,1908220,1,2,495399,3,9,1278274,0,0,0
202012,02,170,4,9,Matanuska-Susitna Borough     ,36,36,9065291,8,16,2765800,2,8,1189092,0,0,0,36,36,9065291,8,16,2765800,2,8,1189092,0,0,0
202012,02,180,4,9,Nome Census Area              ,8,8,1439578,0,0,0,0,0,0,0,0,0,3,3,529828,0,0,0,0,0,0,0,0,0
202012,02,185,4,9,North Slope Borough           ,5,5,1484169,0,0,0,0,0,0,0,0,0,5,5,1484169,0,0,0,0,0,0,0,0,0
202012,02,188,4,9,Northwest Arctic Borough      ,12,12,3868170,0,0,0,0,0,0,0,0,0,10,10,2681504,0,0,0,0,0,0,0,0,0
202012,02,195,4,9,Petersburg Borough            ,4,4,1051766,5,10,1675000,0,0,0,1,15,6000000,2,2,670000,5,10,1675000,0,0,0,1,15,6000000
202012,02,198,4,9,Prince of Wales-Hyder Census A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202012,02,220,4,9,Sitka City and Borough        ,8,8,1760372,1,2,306156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202012,02,230,4,9,Skagway Municipality          ,1,1,300000,0,0,0,0,0,0,0,0,0,1,1,300000,0,0,0,0,0,0,0,0,0
202012,02,261,4,9,Valdez-Cordova Census Area    ,16,16,3913900,0,0,0,0,0,0,0,0,0,14,14,3496500,0,0,0,0,0,0,0,0,0
202012,02,275,4,9,Wrangell City and Borough     ,3,3,615000,0,0,0,0,0,0,0,0,0,3,3,615000,0,0,0,0,0,0,0,0,0
202012,02,282,4,9,Yakutat City and Borough      ,5,5,1107425,0,0,0,0,0,0,0,0,0,4,4,940502,0,0,0,0,0,0,0,0,0
202012,02,290,4,9,Yukon-Koyukuk Census Area     ,2,2,593668,0,0,0,0,0,0,0,0,0,2,2,593668,0,0,0,0,0,0,0,0,0
202012,04,013,4,8,Maricopa County               ,25614,25614,7186761382,328,656,80288022,59,195,37061404,442,13851,1830942016,25416,25416,7124242243,319,638,77676800,58,192,36365158,428,12606,1614290535
202012,04,019,4,8,Pima County                   ,4242,4242,1287775253,23,46,6119199,0,0,0,44,670,100520634,3336,3336,1056739955,4,8,1430241,0,0,0,5,25,2967032
202012,04,021,4,8,Pinal County                  ,6110,6110,1251758042,1,2,147442,3,12,857288,5,178,9464912,5927,5927,1209387207,1,2,147442,3,12,857288,5,178,9464912
202012,05,013,3,7,Calhoun County                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202012,05,035,3,7,Crittenden County             ,73,73,15265217,1,2,232000,0,0,0,0,0,0,68,68,14099952,1,2,232000,0,0,0,0,0,0
202012,05,043,3,7,Drew County                   ,9,9,1258880,0,0,0,0,0,0,0,0,0,6,6,1072379,0,0,0,0,0,0,0,0,0
202012,05,045,3,7,Faulkner County               ,358,358,78206328,11,22,1668714,0,0,0,12,83,2285077,109,109,20197615,0,0,0,0,0,0,0,0,0
202012,05,053,3,7,Grant County                  ,34,34,5624447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202012,05,085,3,7,Lonoke County                 ,397,397,47054867,1,2,172108,0,0,0,0,0,0,191,191,29292162,1,2,172108,0,0,0,0,0,0
202012,05,087,3,7,Madison County                ,51,51,7785827,0,0,0,0,0,0,0,0,0,51,51,7785827,0,0,0,0,0,0,0,0,0
202012,05,091,3,7,Miller County                 ,23,23,5115362,0,0,0,0,0,0,0,0,0,17,17,3859000,0,0,0,0,0,0,0,0,0
202012,05,105,3,7,Perry County                  ,2,2,57705,0,0,0,2,6,66667,0,0,0,2,2,57705,0,0,0,2,6,66667,0,0,0
202012,05,119,3,7,Pulaski County                ,880,880,225277057,13,26,3303000,31,93,8812950,19,316,28109004,880,880,225277057,13,26,3303000,31,93,8812950,19,316,28109004
202012,05,129,3,7,Searcy County                 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202012,05,143,3,7,Washington County             ,1459,1459,384718782,55,110,21237489,12,47,6981198,39,398,59878230,1450,1450,382856087,55,110,21237489,12,47,6981198,39,398,59878230
202012,06,001,4,9,Alameda County                ,1336,1336,426040532,17,34,9516210,23,81,19700152,98,2791,740488940,823,823,254164913,14,28,7795001,15,55,12275324,66,2492,673620112
202012,06,013,4,9,Contra Costa County           ,1561,1561,465581568,2,4,1093236,3,10,1707512,37,1332,243699544,1538,1538,461638016,1,2,343236,3,10,1707512,32,1193,222686534
202012,06,017,4,9,El Dorado County              ,617,617,214268816,1,2,150000,0,0,0,0,0,0,617,617,214268816,1,2,150000,0,0,0,0,0,0
202012,06,019,4,9,Fresno County                 ,2631,2631,796592521,34,68,9391602,13,46,4187265,37,353,48331271,1528,1528,442532038,12,24,1759559,7,28,3039335,5,134,20233060
202012,06,037,4,9,Los Angeles County            ,6569,6569,1933094775,562,1124,223929284,55,184,40483955,340,12823,2532527184,5968,5968,1692038550,547,1094,218248087,28,98,23834248,288,12401,2459601494
202012,06,041,4,9,Marin County                  ,134,134,72267477,7,14,10718750,1,3,350000,2,11,2364269,86,86,36349781,0,0,0,1,3,350000,0,0,0
202012,06,059,4,9,Orange County                 ,3011,3011,899202675,75,150,40222655,70,240,57926474,88,2973,562400196,2816,2816,756566091,51,102,24222368,68,234,56603338,75,2658,492950735
202012,06,061,4,9,Placer County                 ,2632,2632,854882202,9,18,3530814,0,0,0,24,524,68911953,2616,2616,849512518,9,18,3530814,0,0,0,24,524,68911953
202012,06,063,4,9,Plumas County                 ,42,42,8232847,0,0,0,0,0,0,0,0,0,42,42,8232847,0,0,0,0,0,0,0,0,0
202012,06,067,4,9,Sacramento County             ,3444,3444,931702546,44,88,12554473,23,89,17971250,59,2487,437988973,3442,3442,931238708,44,88,12554473,23,89,17971250,59,2487,437988973
202012,06,069,4,9,San Benito County             ,508,508,145492956,0,0,0,0,0,0,0,0,0,451,451,123874988,0,0,0,0,0,0,0,0,0
202012,06,071,4,9,San Bernardino County         ,4088,4088,1025813365,103,206,22389709,48,187,36529557,83,700,98855156,3851,3851,965865699,103,206,22389709,48,187,36529557,71,634,94989436
202012,06,073,4,9,San Diego County              ,2898,2898,821309024,45,90,17798486,119,406,79328695,193,6053,1076429993,2872,2872,814891187,45,90,17798486,119,406,79328695,192,6015,1072529675
202012,06,075,4,9,San Francisco County          ,21,21,5832607,6,12,3021795,5,16,6459947,27,1955,770759604,21,21,5832607,6,12,3021795,5,16,6459947,27,1955,770759604
202012,06,081,4,9,San Mateo County              ,345,345,249656920,3,6,1769696,1,4,1972578,24,322,87598781,228,228,184197935,1,2,689396,1,4,1972578,6,182,57733694
202012,06,085,4,9,Santa Clara County            ,1350,1350,537750809,7,14,3794333,6,19,4961546,64,4057,488558076,1158,1158,454624352,4,8,2015890,1,3,720859,43,3575,403682564
202012,06,091,4,9,Sierra County                 ,8,8,2784296,0,0,0,0,0,0,0,0,0,8,8,2784296,0,0,0,0,0,0,0,0,0
202012,06,113,4,9,Yolo County                   ,589,589,193578090,3,6,1439600,0,0,0,43,576,92796539,566,566,186348405,1,2,474000,0,0,0,41,563,89460406
202012,08,001,4,8,Adams County                  ,2735,2735,697901095,70,140,16886309,4,14,2967022,19,957,129211770,2735,2735,697901095,70,140,16886309,4,14,2967022,19,957,129211770
202012,08,005,4,8,Arapahoe County               ,2918,2918,828649875,2,4,1309654,2,6,1257375,35,1178,140470306,2827,2827,803038834,2,4,1309654,2,6,1257375,32,1141,135476435
202012,08,014,4,8,Broomfield County             ,223,223,90164332,49,98,22203554,1,3,600000,12,103,15755230,223,223,90164332,49,98,22203554,1,3,600000,12,103,15755230
202012,08,015,4,8,Chaffee County                ,155,155,39693352,2,4,647924,9,27,4947300,0,0,0,11,11,2408693,0,0,0,0,0,0,0,0,0
202012,08,019,4,8,Clear Creek County            ,25,25,7345696,0,0,0,0,0,0,3,72,8700000,7,7,2108570,0,0,0,0,0,0,3,72,8700000
202012,08,031,4,8,Denver County                 ,1167,1167,324142283,0,0,0,0,0,0,42,3892,507380807,1167,1167,324142283,0,0,0,0,0,0,42,3892,507380807
202012,08,035,4,8,Douglas County                ,2816,2816,879243805,24,48,10208759,22,78,12818097,13,447,63883195,2792,2792,870026039,24,48,10208759,22,78,12818097,13,447,63883195
202012,08,039,4,8,Elbert County                 ,299,299,87097012,0,0,0,0,0,0,0,0,0,296,296,86670013,0,0,0,0,0,0,0,0,0
202012,08,041,4,8,El Paso County                ,4928,4928,1834927574,150,300,30655491,1,4,1007100,34,1587,231933885,4928,4928,1834927574,150,300,30655491,1,4,1007100,34,1587,231933885
202012,08,047,4,8,Gilpin County                 ,20,20,5554169,0,0,0,0,0,0,0,0,0,20,20,5554169,0,0,0,0,0,0,0,0,0
202012,08,059,4,8,Jefferson County              ,823,823,252833821,14,28,5530844,0,0,0,17,1310,236160034,823,823,252833821,14,28,5530844,0,0,0,17,1310,236160034
202012,08,069,4,8,Larimer County                ,2193,2193,610498645,5,10,1747880,1,4,692000,32,386,52690842,2155,2155,601421194,5,10,1747880,1,4,692000,29,369,51183592
202012,08,077,4,8,Mesa County                   ,778,778,125524241,9,18,2184143,0,0,0,8,208,16516270,778,778,125524241,9,18,2184143,0,0,0,8,208,16516270
202012,08,093,4,8,Park County                   ,162,162,41850694,0,0,0,0,0,0,0,0,0,162,162,41850694,0,0,0,0,0,0,0,0,0
202012,08,101,4,8,Pueblo County                 ,581,581,93289388,0,0,0,0,0,0,0,0,0,487,487,78091568,0,0,0,0,0,0,0,0,0
202012,08,119,4,8,Teller County                 ,111,111,35557810,1,2,233000,0,0,0,0,0,0,108,108,35257810,1,2,233000,0,0,0,0,0,0
202012,09,001,1,1,Fairfield County              ,653,653,352505981,26,52,9129218,1,4,1200000,42,1168,149899508,546,546,269460664,19,38,8068284,1,4,1200000,29,1042,116726825
202012,09,003,1,1,Hartford County               ,532,532,118020037,13,26,2421400,9,35,5341306,23,254,23016129,466,466,104003168,8,16,1421400,9,35,5341306,11,189,19851526
202012,09,007,1,1,Middlesex County              ,147,147,38320873,0,0,0,0,0,0,2,67,5538000,115,115,31495910,0,0,0,0,0,0,2,67,5538000
202012,09,013,1,1,Tolland County                ,125,125,29492877,2,4,440000,0,0,0,19,206,15561090,64,64,15398933,0,0,0,0,0,0,3,108,4507866
202012,10,001,3,5,Kent County                   ,1666,1666,235087136,39,78,7214635,2,7,925999,25,385,46482078,1643,1643,230142051,39,78,7214635,2,7,925999,25,385,46482078
202012,10,003,3,5,New Castle County             ,1465,1465,147522276,0,0,0,3,12,2851173,25,320,35302254,349,349,38838290,0,0,0,3,12,2851173,16,274,31459607
202012,10,005,3,5,Sussex County                 ,3971,3971,561760876,116,232,26175801,14,52,5516792,27,268,30640138,3971,3971,561760876,116,232,26175801,14,52,5516792,27,268,30640138
202012,11,001,3,5,Washington  DC                ,139,139,32491486,47,94,11189746,1,4,523182,52,7133,842389979,139,139,32491486,47,94,11189746,1,4,523182,52,7133,842389979
202012,12,003,3,5,Baker County                  ,152,152,27844012,0,0,0,0,0,0,0,0,0,152,152,27844012,0,0,0,0,0,0,0,0,0
202012,12,019,3,5,Clay County                   ,1126,1126,250384606,5,10,1040000,0,0,0,9,298,27464524,1124,1124,250069050,5,10,1040000,0,0,0,9,298,27464524
202012,12,029,3,5,Dixie County                  ,43,43,4055144,0,0,0,0,0,0,0,0,0,24,24,1655000,0,0,0,0,0,0,0,0,0
202012,12,031,3,5,Duval County                  ,5481,5481,1295904457,29,58,7431448,35,140,18353092,44,2568,302267198,5465,5465,1290390590,29,58,7431448,35,140,18353092,44,2568,302267198
202012,12,033,3,5,Escambia County               ,1922,1922,455693165,8,16,698200,4,12,987386,12,260,22355661,1922,1922,455693165,8,16,698200,4,12,987386,12,260,22355661
202012,12,053,3,5,Hernando County               ,984,984,233058153,6,12,816000,5,20,2667690,13,84,12730533,984,984,233058153,6,12,816000,5,20,2667690,13,84,12730533
202012,12,057,3,5,Hillsborough County           ,8817,8817,2913337689,12,24,2741443,6,19,4616353,36,3480,621410470,8805,8805,2912073084,12,24,2741443,6,19,4616353,36,3480,621410470
202012,12,067,3,5,Lafayette County              ,34,34,2454158,0,0,0,0,0,0,0,0,0,32,32,1987948,0,0,0,0,0,0,0,0,0
202012,12,071,3,5,Lee County                    ,6822,6822,1427341341,224,448,50013907,27,108,27953019,116,3298,431684967,6800,6800,1422695570,223,446,49867658,27,108,27953019,113,3254,426952432
202012,12,073,3,5,Leon County                   ,789,789,155738579,10,20,2216000,0,0,0,41,1088,139042831,0,0,0,0,0,0,0,0,0,0,0,0
202012,12,081,3,5,Manatee County                ,4278,4278,931470979,51,102,7031450,14,56,6706280,30,614,59110618,4278,4278,931470979,51,102,7031450,14,56,6706280,30,614,59110618
202012,12,086,3,5,Miami-Dade County             ,2133,2133,645372825,137,274,54382090,60,224,16631070,168,7284,1064534992,1857,1857,561281575,137,274,54382090,60,224,16631070,168,7284,1064534992
202012,12,089,3,5,Nassau County                 ,1237,1237,327500334,0,0,0,2,8,482529,9,193,2182392,814,814,222347009,0,0,0,2,8,482529,8,188,1020952
202012,12,091,3,5,Okaloosa County               ,925,925,293027940,4,8,1553730,0,0,0,9,60,13620641,843,843,270719856,4,8,1553730,0,0,0,9,60,13620641
202012,12,095,3,5,Orange County                 ,5501,5501,1728973570,137,274,52978165,8,31,6184813,118,5852,804972082,5151,5151,1646249219,136,272,52612227,7,28,5827999,114,5624,775652278
202012,12,097,3,5,Osceola County                ,4970,4970,1087057369,11,22,2460506,20,80,7806869,13,776,74888524,4970,4970,1087057369,11,22,2460506,20,80,7806869,13,776,74888524
202012,12,101,3,5,Pasco County                  ,5302,5302,1098630842,7,14,2185485,1,4,51000,7,52,2792419,5248,5248,1091473455,3,6,1065485,1,4,51000,1,22,204919
202012,12,103,3,5,Pinellas County               ,925,925,296727800,11,22,3305664,1,3,1199800,11,290,42375681,880,880,280146296,9,18,2534998,1,3,1199800,7,270,33255681
202012,12,109,3,5,St. Johns County              ,5050,5050,1369621024,0,0,0,4,16,3151589,3,24,4358346,5050,5050,1369621024,0,0,0,4,16,3151589,3,24,4358346
202012,12,113,3,5,Santa Rosa County             ,2182,2182,427812974,0,0,0,0,0,0,0,0,0,2182,2182,427812974,0,0,0,0,0,0,0,0,0
202012,12,115,3,5,Sarasota County               ,4153,4153,1281611244,21,42,8894073,21,76,18073544,17,166,27804930,4153,4153,1281611244,21,42,8894073,21,76,18073544,17,166,27804930
202012,12,117,3,5,Seminole County               ,1525,1525,465667983,18,36,6637354,0,0,0,36,969,122673104,1457,1457,451397316,18,36,6637354,0,0,0,16,645,92282287
202012,12,119,3,5,Sumter County                 ,2942,2942,800073751,0,0,0,2,8,1792000,24,748,73779224,2938,2938,799304615,0,0,0,2,8,1792000,24,748,73779224
202012,12,129,3,5,Wakulla County                ,409,409,69319925,0,0,0,0,0,0,0,0,0,409,409,69319925,0,0,0,0,0,0,0,0,0
202012,12,131,3,5,Walton County                 ,1475,1475,658028423,1,2,1800000,4,16,2422213,20,269,46265715,1475,1475,658028423,1,2,1800000,4,16,2422213,20,269,46265715
202012,12,133,3,5,Washington County             ,61,61,10268243,0,0,0,0,0,0,0,0,0,54,54,9234145,0,0,0,0,0,0,0,0,0
202012,13,007,3,5,Baker County                  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202012,13,013,3,5,Barrow County                 ,824,824,114754611,4,8,840000,5,20,1644864,5,88,7909904,819,819,114179784,4,8,840000,5,20,1644864,5,88,7909904
202012,13,015,3,5,Bartow County                 ,762,762,128897132,1,2,153760,0,0,0,4,100,6235092,743,743,123039716,1,2,153760,0,0,0,4,100,6235092
202012,13,021,3,5,Bibb County                   ,157,157,27542267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202012,13,029,3,5,Bryan County                  ,497,497,147302906,0,0,0,1,4,240000,2,15,1683675,497,497,147302906,0,0,0,1,4,240000,2,15,1683675
202012,13,033,3,5,Burke County                  ,52,52,10858177,0,0,0,0,0,0,0,0,0,45,45,9534600,0,0,0,0,0,0,0,0,0
202012,13,035,3,5,Butts County                  ,170,170,51152500,0,0,0,0,0,0,0,0,0,170,170,51152500,0,0,0,0,0,0,0,0,0
202012,13,045,3,5,Carroll County                ,788,788,189569825,0,0,0,1,4,250000,0,0,0,788,788,189569825,0,0,0,1,4,250000,0,0,0
202012,13,051,3,5,Chatham County                ,943,943,217233212,0,0,0,3,12,1760000,25,679,43154800,565,565,130628057,0,0,0,3,12,1760000,25,679,43154800
202012,13,057,3,5,Cherokee County               ,2385,2385,667583579,0,0,0,1,4,968222,1,5,1212482,2385,2385,667583579,0,0,0,1,4,968222,1,5,1212482
202012,13,059,3,5,Clarke County                 ,294,294,58452776,109,218,30555996,32,123,10488673,0,0,0,294,294,58452776,109,218,30555996,32,123,10488673,0,0,0
202012,13,063,3,5,Clayton County                ,954,954,231126789,0,0,0,0,0,0,0,0,0,954,954,231126789,0,0,0,0,0,0,0,0,0
202012,13,067,3,5,Cobb County                   ,1811,1811,486944220,7,14,2902530,23,79,14257970,49,590,77512241,1804,1804,485414092,7,14,2902530,23,79,14257970,49,590,77512241
202012,13,073,3,5,Columbia County               ,1297,1297,249168208,0,0,0,19,67,5457436,5,38,1996000,326,326,58176279,0,0,0,19,67,5457436,5,38,1996000
202012,13,077,3,5,Coweta County                 ,984,984,361666142,3,6,819950,0,0,0,2,24,2500000,977,977,359663255,3,6,819950,0,0,0,2,24,2500000
202012,13,085,3,5,Dawson County                 ,331,331,83301397,1,2,139322,12,40,3786440,10,57,5979238,331,331,83301397,1,2,139322,12,40,3786440,10,57,5979238
202012,13,095,3,5,Dougherty County              ,17,17,4198468,0,0,0,0,0,0,8,148,20814697,5,5,1737550,0,0,0,0,0,0,2,54,6783342
202012,13,097,3,5,Douglas County                ,507,507,100952426,0,0,0,0,0,0,7,240,38273340,507,507,100952426,0,0,0,0,0,0,7,240,38273340
202012,13,111,3,5,Fannin County                 ,382,382,79791747,0,0,0,0,0,0,0,0,0,382,382,79791747,0,0,0,0,0,0,0,0,0
202012,13,113,3,5,Fayette County                ,547,547,170850912,0,0,0,5,17,4900830,0,0,0,540,540,168162980,0,0,0,5,17,4900830,0,0,0
202012,13,115,3,5,Floyd County                  ,282,282,46375921,0,0,0,0,0,0,0,0,0,282,282,46375921,0,0,0,0,0,0,0,0,0
202012,13,117,3,5,Forsyth County                ,2485,2485,413289187,0,0,0,0,0,0,0,0,0,2485,2485,413289187,0,0,0,0,0,0,0,0,0
202012,13,121,3,5,Fulton County                 ,2833,2833,754338624,5,10,1235080,0,0,0,28,1431,163400991,2689,2689,740086843,5,10,1235080,0,0,0,28,1431,163400991
202012,13,127,3,5,Glynn County                  ,354,354,116694242,18,36,5415000,1,3,201000,3,46,24800000,354,354,116694242,18,36,5415000,1,3,201000,3,46,24800000
202012,13,135,3,5,Gwinnett County               ,4192,4192,999582254,0,0,0,8,28,3308637,13,319,48219715,4133,4133,981996866,0,0,0,8,28,3308637,8,292,40119715
202012,13,143,3,5,Haralson County               ,52,52,11867902,0,0,0,0,0,0,0,0,0,1,1,250000,0,0,0,0,0,0,0,0,0
202012,13,145,3,5,Harris County                 ,237,237,57374255,0,0,0,0,0,0,0,0,0,237,237,57374255,0,0,0,0,0,0,0,0,0
202012,13,149,3,5,Heard County                  ,32,32,7132320,0,0,0,0,0,0,0,0,0,32,32,7132320,0,0,0,0,0,0,0,0,0
202012,13,151,3,5,Henry County                  ,1770,1770,411333888,0,0,0,0,0,0,5,97,40554157,1447,1447,361936580,0,0,0,0,0,0,5,97,40554157
202012,13,159,3,5,Jasper County                 ,107,107,18875579,0,0,0,0,0,0,0,0,0,35,35,9229451,0,0,0,0,0,0,0,0,0
202012,13,171,3,5,Lamar County                  ,127,127,27000409,0,0,0,0,0,0,0,0,0,127,127,27000409,0,0,0,0,0,0,0,0,0
202012,13,177,3,5,Lee County                    ,126,126,12340125,0,0,0,0,0,0,5,46,2053000,126,126,12340125,0,0,0,0,0,0,5,46,2053000
202012,13,179,3,5,Liberty County                ,421,421,84422725,0,0,0,0,0,0,0,0,0,421,421,84422725,0,0,0,0,0,0,0,0,0
202012,13,189,3,5,McDuffie County               ,53,53,11116000,0,0,0,0,0,0,0,0,0,53,53,11116000,0,0,0,0,0,0,0,0,0
202012,13,199,3,5,Meriwether County             ,79,79,14193975,0,0,0,0,0,0,0,0,0,61,61,10863541,0,0,0,0,0,0,0,0,0
202012,13,201,3,5,Miller County                 ,6,6,1578407,0,0,0,0,0,0,0,0,0,6,6,1578407,0,0,0,0,0,0,0,0,0
202012,13,207,3,5,Monroe County                 ,203,203,46062895,0,0,0,0,0,0,0,0,0,135,135,36384175,0,0,0,0,0,0,0,0,0
202012,13,215,3,5,Muscogee County               ,901,901,86784085,1,2,18000,0,0,0,12,439,68254989,901,901,86784085,1,2,18000,0,0,0,12,439,68254989
202012,13,217,3,5,Newton County                 ,840,840,149336312,0,0,0,1,4,440000,2,13,1430000,840,840,149336312,0,0,0,1,4,440000,2,13,1430000
202012,13,227,3,5,Pickens County                ,232,232,64648918,0,0,0,0,0,0,0,0,0,230,230,64174004,0,0,0,0,0,0,0,0,0
202012,13,231,3,5,Pike County                   ,139,139,32517451,0,0,0,0,0,0,0,0,0,139,139,32517451,0,0,0,0,0,0,0,0,0
202012,13,235,3,5,Pulaski County                ,23,23,3159076,0,0,0,0,0,0,0,0,0,23,23,3159076,0,0,0,0,0,0,0,0,0
202012,13,245,3,5,Richmond County               ,644,644,108021612,0,0,0,0,0,0,0,0,0,644,644,108021612,0,0,0,0,0,0,0,0,0
202012,13,247,3,5,Rockdale County               ,269,269,74882102,0,0,0,0,0,0,0,0,0,269,269,74882102,0,0,0,0,0,0,0,0,0
202012,13,255,3,5,Spalding County               ,257,257,44069095,0,0,0,0,0,0,0,0,0,252,252,43676845,0,0,0,0,0,0,0,0,0
202012,13,275,3,5,Thomas County                 ,173,173,32418797,1,2,800000,0,0,0,0,0,0,173,173,32418797,1,2,800000,0,0,0,0,0,0
202012,13,291,3,5,Union County                  ,229,229,65630234,0,0,0,0,0,0,0,0,0,229,229,65630234,0,0,0,0,0,0,0,0,0
202012,15,001,4,9,Hawaii County                 ,866,866,337402077,2,4,433435,0,0,0,0,0,0,866,866,337402077,2,4,433435,0,0,0,0,0,0
202012,15,003,4,9,Honolulu County               ,895,895,357607033,0,0,0,3,10,6496243,27,916,167078826,510,510,202839701,0,0,0,0,0,0,11,356,61181268
202012,15,007,4,9,Kauai County                  ,137,137,137073238,5,10,3452150,0,0,0,0,0,0,137,137,137073238,5,10,3452150,0,0,0,0,0,0
202012,15,009,4,9,Maui County                   ,306,306,135321813,8,16,3191345,8,32,8000000,2,172,58466346,306,306,135321813,8,16,3191345,8,32,8000000,2,172,58466346
202012,16,001,4,8,Ada County                    ,4991,4991,1412293895,36,72,12768479,29,100,20545361,44,859,114562962,4946,4946,1399786825,36,72,12768479,29,100,20545361,44,859,114562962
202012,16,015,4,8,Boise County                  ,119,119,34332427,0,0,0,1,3,200000,0,0,0,119,119,34332427,0,0,0,1,3,200000,0,0,0
202012,16,027,4,8,Canyon County                 ,2827,2827,449457351,35,70,9161698,62,248,29317247,21,250,13747697,2645,2645,408013048,35,70,9161698,62,248,29317247,21,250,13747697
