scenario,fiscal_year,metric,value,unit
Pre-Cancellation Digital Gateway,2030,assessed_value_base,167207232523.27502,USD
Pre-Cancellation Digital Gateway,2030,required_re_tax_rate_effective_per_100,0.7324959397512089,USD_per_100_AV
Pre-Cancellation Digital Gateway,2030,required_re_tax_rate_nominal_per_100,0.8895996265611197,USD_per_100_AV
Pre-Cancellation Digital Gateway,2030,required_re_rate_delta_vs_fy26_nominal,-0.016400373438880345,USD_per_100_AV
Pre-Cancellation Digital Gateway,2030,required_re_rate_delta_vs_fy27_nominal,0.024599626561119692,USD_per_100_AV
Pre-Cancellation Digital Gateway,2030,debt_service_total,176021071.0,USD
Pre-Cancellation Digital Gateway,2030,debt_service_to_revenue_ratio,0.06981066479579355,fraction
Pre-Cancellation Digital Gateway,2030,debt_service_headroom_vs_10pct_cap,76119589.04798481,USD
Pre-Cancellation Digital Gateway,2030,debt_service_cap_breached,0.0,boolean
Pre-Cancellation Digital Gateway,2030,unassigned_gf_balance_eoy,-170496439.66728878,USD
Pre-Cancellation Digital Gateway,2030,unassigned_gf_balance_policy_floor_7_5pct,189105495.0359886,USD
Pre-Cancellation Digital Gateway,2030,unassigned_gf_balance_floor_breached,1.0,boolean
Pre-Cancellation Digital Gateway,2031,total_revenue,2630182922.506247,USD
Pre-Cancellation Digital Gateway,2031,split_base_eligible_for_schools_transfer,2157018549.4888983,USD
Pre-Cancellation Digital Gateway,2031,schools_transfer,1234461715.8724966,USD
Pre-Cancellation Digital Gateway,2031,total_committed_expenditure,2737289222.672497,USD
Pre-Cancellation Digital Gateway,2031,surplus_or_deficit,-107106300.16624975,USD
Pre-Cancellation Digital Gateway,2031,real_estate_tax_revenue,1157369036.9955592,USD
Pre-Cancellation Digital Gateway,2031,assessed_value_base,175567594149.4388,USD
Pre-Cancellation Digital Gateway,2031,required_re_tax_rate_effective_per_100,0.7202213730203073,USD_per_100_AV
Pre-Cancellation Digital Gateway,2031,required_re_tax_rate_nominal_per_100,0.8746924449817675,USD_per_100_AV
Pre-Cancellation Digital Gateway,2031,required_re_rate_delta_vs_fy26_nominal,-0.03130755501823257,USD_per_100_AV
Pre-Cancellation Digital Gateway,2031,required_re_rate_delta_vs_fy27_nominal,0.009692444981767467,USD_per_100_AV
Pre-Cancellation Digital Gateway,2031,debt_service_total,175419137.0,USD
Pre-Cancellation Digital Gateway,2031,debt_service_to_revenue_ratio,0.06669465286956039,fraction
Pre-Cancellation Digital Gateway,2031,debt_service_headroom_vs_10pct_cap,87599155.25062472,USD
Pre-Cancellation Digital Gateway,2031,debt_service_cap_breached,0.0,boolean
Pre-Cancellation Digital Gateway,2031,unassigned_gf_balance_eoy,-277602739.83353853,USD
Pre-Cancellation Digital Gateway,2031,unassigned_gf_balance_policy_floor_7_5pct,197263719.18796852,USD
Pre-Cancellation Digital Gateway,2031,unassigned_gf_balance_floor_breached,1.0,boolean
CAPEX Spillover,2027,total_revenue,2135583162.2649999,USD
CAPEX Spillover,2027,split_base_eligible_for_schools_transfer,1728609429.0,USD
CAPEX Spillover,2027,schools_transfer,989283176.2167001,USD
CAPEX Spillover,2027,total_committed_expenditure,2219751411.9467,USD
CAPEX Spillover,2027,surplus_or_deficit,-84168249.68170023,USD
CAPEX Spillover,2027,real_estate_tax_revenue,968556346.2,USD
CAPEX Spillover,2027,assessed_value_base,140145760080.0,USD
CAPEX Spillover,2027,required_re_tax_rate_effective_per_100,0.7511640703798452,USD_per_100_AV
CAPEX Spillover,2027,required_re_tax_rate_nominal_per_100,0.9122716457964342,USD_per_100_AV
