fiscal_year,scenario,revenue_line,amount_usd
2027,base,recordation_tax,2814000.0
2028,base,recordation_tax,2828070.0
2029,base,recordation_tax,2842210.0
2030,base,recordation_tax,2856421.0
2031,base,recordation_tax,2870704.0
2027,base,transient_occupancy_tax,2600000.0
2028,base,transient_occupancy_tax,2600000.0
2029,base,transient_occupancy_tax,2600000.0
2030,base,transient_occupancy_tax,2600000.0
2031,base,transient_occupancy_tax,2600000.0
2027,base,cigarette_tax,3667000.0
2028,base,cigarette_tax,3538655.0
2029,base,cigarette_tax,3414802.0
2030,base,cigarette_tax,3295284.0
2031,base,cigarette_tax,3179949.0
2027,base,investment_income,28420000.0
2028,base,investment_income,27440000.0
2029,base,investment_income,26460000.0
2030,base,investment_income,25480000.0
2031,base,investment_income,24500000.0
2027,base,state_aid_gf_direct,13485558.0
2028,base,state_aid_gf_direct,13887765.0
2029,base,state_aid_gf_direct,14301968.0
2030,base,state_aid_gf_direct,14728524.0
2031,base,state_aid_gf_direct,15167802.0
2027,base,federal_pilt,80000.0
2028,base,federal_pilt,80000.0
2029,base,federal_pilt,80000.0
2030,base,federal_pilt,80000.0
2031,base,federal_pilt,80000.0
2027,base,pptra_fixed_reimbursement,54288000.0
2028,base,pptra_fixed_reimbursement,54288000.0
2029,base,pptra_fixed_reimbursement,54288000.0
2030,base,pptra_fixed_reimbursement,54288000.0
2031,base,pptra_fixed_reimbursement,54288000.0
2027,high,residential_real_estate,659060731.0
2028,high,residential_real_estate,672652671.0
2029,high,residential_real_estate,686434899.0
2030,high,residential_real_estate,700410077.0
2031,high,residential_real_estate,714580909.0
2027,high,non_dc_commercial_real_estate,172145247.0
2028,high,non_dc_commercial_real_estate,176650651.0
2029,high,non_dc_commercial_real_estate,181246165.0
2030,high,non_dc_commercial_real_estate,185933588.0
2031,high,non_dc_commercial_real_estate,190714760.0
2027,high,personal_property_vehicles,220091984.0
2028,high,personal_property_vehicles,225409406.0
2029,high,personal_property_vehicles,230855298.0
2030,high,personal_property_vehicles,236432762.0
2031,high,personal_property_vehicles,242144977.0
2027,high,non_dc_business_tangible,22440000.0
2028,high,non_dc_business_tangible,22888800.0
2029,high,non_dc_business_tangible,23346576.0
2030,high,non_dc_business_tangible,23813508.0
2031,high,non_dc_business_tangible,24289778.0
2027,high,local_sales_tax,106479460.0
2028,high,local_sales_tax,110613419.0
2029,high,local_sales_tax,114907874.0
2030,high,local_sales_tax,119369057.0
2031,high,local_sales_tax,124003441.0
2027,high,bpol_tax,37810435.0
2028,high,bpol_tax,38465009.0
2029,high,bpol_tax,39130916.0
2030,high,bpol_tax,39808350.0
2031,high,bpol_tax,40497512.0
2027,high,food_and_beverage_tax,29722440.0
2028,high,food_and_beverage_tax,24582217.0
2029,high,food_and_beverage_tax,25413686.0
2030,high,food_and_beverage_tax,26273279.0
2031,high,food_and_beverage_tax,27161946.0
2027,high,consumer_utility_tax,15655000.0
2028,high,consumer_utility_tax,15811550.0
2029,high,consumer_utility_tax,15969666.0
2030,high,consumer_utility_tax,16129362.0
2031,high,consumer_utility_tax,16290656.0
2027,high,communications_sales_tax,11327500.0
2028,high,communications_sales_tax,11157588.0
2029,high,communications_sales_tax,10990224.0
2030,high,communications_sales_tax,10825370.0
2031,high,communications_sales_tax,10662990.0
2027,high,motor_vehicle_license,13657800.0
2028,high,motor_vehicle_license,13930956.0
2029,high,motor_vehicle_license,14209575.0
2030,high,motor_vehicle_license,14493767.0
2031,high,motor_vehicle_license,14783642.0
2027,high,recordation_tax,2870000.0
2028,high,recordation_tax,2941750.0
2029,high,recordation_tax,3015294.0
2030,high,recordation_tax,3090676.0
2031,high,recordation_tax,3167943.0
2027,high,transient_occupancy_tax,2639000.0
2028,high,transient_occupancy_tax,2678585.0
2029,high,transient_occupancy_tax,2718764.0
2030,high,transient_occupancy_tax,2759545.0
2031,high,transient_occupancy_tax,2800938.0
2027,high,cigarette_tax,3724000.0
2028,high,cigarette_tax,3649520.0
2029,high,cigarette_tax,3576530.0
2030,high,cigarette_tax,3504999.0
2031,high,cigarette_tax,3434899.0
2027,high,investment_income,29400000.0
2028,high,investment_income,29400000.0
2029,high,investment_income,29400000.0
2030,high,investment_income,29400000.0
2031,high,investment_income,29400000.0
2027,high,state_aid_gf_direct,13725328.0
2028,high,state_aid_gf_direct,14385996.0
2029,high,state_aid_gf_direct,15078466.0
2030,high,state_aid_gf_direct,15804268.0
2031,high,state_aid_gf_direct,16565007.0
2027,high,federal_pilt,80000.0
2028,high,federal_pilt,80000.0
2029,high,federal_pilt,80000.0
2030,high,federal_pilt,80000.0
2031,high,federal_pilt,80000.0
2027,high,pptra_fixed_reimbursement,54288000.0
2028,high,pptra_fixed_reimbursement,54288000.0
2029,high,pptra_fixed_reimbursement,54288000.0
2030,high,pptra_fixed_reimbursement,54288000.0
2031,high,pptra_fixed_reimbursement,54288000.0
2027,low_with_spillover,residential_real_estate,611697378.0
2028,low_with_spillover,residential_real_estate,582819744.0
2029,low_with_spillover,residential_real_estate,558397093.0
2030,low_with_spillover,residential_real_estate,537923648.0
2031,low_with_spillover,residential_real_estate,518288541.0
2027,low_with_spillover,non_dc_commercial_real_estate,162483837.0
2028,low_with_spillover,non_dc_commercial_real_estate,157396822.0
2029,low_with_spillover,non_dc_commercial_real_estate,152462418.0
2030,low_with_spillover,non_dc_commercial_real_estate,147676045.0
2031,low_with_spillover,non_dc_commercial_real_estate,143033264.0
2027,low_with_spillover,personal_property_vehicles,208227785.0
2028,low_with_spillover,personal_property_vehicles,201762729.0
2029,low_with_spillover,personal_property_vehicles,195498399.0
2030,low_with_spillover,personal_property_vehicles,189428565.0
2031,low_with_spillover,personal_property_vehicles,183547187.0
2027,low_with_spillover,non_dc_business_tangible,21120000.0
2028,low_with_spillover,non_dc_business_tangible,20275200.0
2029,low_with_spillover,non_dc_business_tangible,19464192.0
2030,low_with_spillover,non_dc_business_tangible,18685624.0
2031,low_with_spillover,non_dc_business_tangible,17938199.0
2027,low_with_spillover,local_sales_tax,100204820.0
2028,low_with_spillover,local_sales_tax,97961034.0
2029,low_with_spillover,local_sales_tax,95767490.0
2030,low_with_spillover,local_sales_tax,93623065.0
